Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Initial_Cost_Estimate,VPN Connection,0,603.5,7242.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (4)"
My Estimate,US East (Ohio),,Amazon EC2,0,1016.8,12201.60,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (c5.xlarge)"
My Estimate,US East (N. Virginia),CloudFrontInfo,Amazon CloudFront,0,107.52,1290.24,USD,"Data transfer out to internet (1024 GB per month), Data transfer out to origin (1024 GB per month), Number of requests (HTTPS) (1024 per month)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for MySQL,0,2084.72,25016.64,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3 TB), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,97.24,1166.88,USD,S3 Standard storage (4 TB per month)
My Estimate,US East (N. Virginia),S3,S3 Object Lambda,0,0.2741406,3.29,USD,"GET requests from S3 (50000), Size of data returned by S3 Object Lambda (1024 KB)"
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,"DT Inbound: All other regions (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,629.63,7555.56,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,1348.816,16185.79,USD,"Number of Metrics (includes detailed and custom metrics) (1024), Standard Logs: Data Ingested (1 TB), Logs Delivered to CloudWatch Logs: Data Ingested (1 TB), Logs Delivered to S3: Data Ingested (30 GB)"
My Estimate,US East (N. Virginia),,Amazon API Gateway,0,150,1800.00,USD,"HTTP API requests units (millions), Average size of each request (34 KB), REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (thousands), Average message size (32 KB), Requests (150 per month)"
My Estimate,US East (N. Virginia),,Amazon Cognito,0,2574.25,30891.00,USD,"Advanced security features (Enabled), Number of monthly active users (MAU) (50000)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
